Time,ifDescr,ifOperStatus
2022-06-15 22:29,X460G2-48p-10G4 Port 1,2
2022-06-15 22:29,X460G2-48p-10G4 Port 2,2
2022-06-15 22:29,X460G2-48p-10G4 Port 3,2
2022-06-15 22:29,X460G2-48p-10G4 Port 4,2
2022-06-15 22:29,X460G2-48p-10G4 Port 5,2
2022-06-15 22:29,X460G2-48p-10G4 Port 6,2
2022-06-15 22:29,X460G2-48p-10G4 Port 7,2
2022-06-15 22:29,X460G2-48p-10G4 Port 8,1
2022-06-15 22:29,X460G2-48p-10G4 Port 9,2
2022-06-15 22:29,X460G2-48p-10G4 Port 10,2
2022-06-15 22:29,X460G2-48p-10G4 Port 11,1
2022-06-15 22:29,X460G2-48p-10G4 Port 12,2
2022-06-15 22:29,X460G2-48p-10G4 Port 13,1
2022-06-15 22:29,X460G2-48p-10G4 Port 14,2
2022-06-15 22:29,X460G2-48p-10G4 Port 15,2
2022-06-15 22:29,X460G2-48p-10G4 Port 16,2
2022-06-15 22:29,X460G2-48p-10G4 Port 17,1
2022-06-15 22:29,X460G2-48p-10G4 Port 18,2
2022-06-15 22:29,X460G2-48p-10G4 Port 19,2
2022-06-15 22:29,X460G2-48p-10G4 Port 20,2
2022-06-15 22:29,X460G2-48p-10G4 Port 21,1
2022-06-15 22:29,X460G2-48p-10G4 Port 22,2
2022-06-15 22:29,X460G2-48p-10G4 Port 23,2
2022-06-15 22:29,X460G2-48p-10G4 Port 24,2
2022-06-15 22:29,X460G2-48p-10G4 Port 25,1
2022-06-15 22:29,X460G2-48p-10G4 Port 26,2
2022-06-15 22:29,X460G2-48p-10G4 Port 27,2
2022-06-15 22:29,X460G2-48p-10G4 Port 28,1
2022-06-15 22:29,X460G2-48p-10G4 Port 29,2
2022-06-15 22:29,X460G2-48p-10G4 Port 30,2
2022-06-15 22:29,X460G2-48p-10G4 Port 31,2
2022-06-15 22:29,X460G2-48p-10G4 Port 32,1
2022-06-15 22:29,X460G2-48p-10G4 Port 33,2
2022-06-15 22:29,X460G2-48p-10G4 Port 34,1
2022-06-15 22:29,X460G2-48p-10G4 Port 35,2
2022-06-15 22:29,X460G2-48p-10G4 Port 36,1
2022-06-15 22:29,X460G2-48p-10G4 Port 37,2
2022-06-15 22:29,X460G2-48p-10G4 Port 38,1
2022-06-15 22:29,X460G2-48p-10G4 Port 39,1
2022-06-15 22:29,X460G2-48p-10G4 Port 40,1
2022-06-15 22:29,X460G2-48p-10G4 Port 41,2
2022-06-15 22:29,X460G2-48p-10G4 Port 42,2
2022-06-15 22:29,X460G2-48p-10G4 Port 43,2
2022-06-15 22:29,X460G2-48p-10G4 Port 44,2
2022-06-15 22:29,X460G2-48p-10G4 Port 45,6
2022-06-15 22:29,X460G2-48p-10G4 Port 46,6
2022-06-15 22:29,X460G2-48p-10G4 Port 47,6
2022-06-15 22:29,X460G2-48p-10G4 Port 48,6



